p,Neg,Pos,Neg/Pos,TN,FP,FN,TP,FP/TP,Prec.,Rec.,$\hat{p}$
0.0,"48,907",0,inf,"48,907","371,663",0,"78,926",4.71,0.18,1.00,0.90
0.05,"3,912",1,3912.00,"52,819","367,751",1,"78,925",4.66,0.18,1.00,0.89
0.1,"67,750",3,22583.33,"120,569","300,001",4,"78,922",3.80,0.21,1.00,0.76
0.15,"6,629",10,662.90,"127,198","293,372",14,"78,912",3.72,0.21,1.00,0.75
0.2,"70,513",31,2274.61,"197,711","222,859",45,"78,881",2.83,0.26,1.00,0.60
0.25,"7,292",54,135.04,"205,003","215,567",99,"78,827",2.73,0.27,1.00,0.59
0.3,"61,957",224,276.59,"266,960","153,610",323,"78,603",1.95,0.34,1.00,0.46
0.35,"6,921",184,37.61,"273,881","146,689",507,"78,419",1.87,0.35,0.99,0.45
0.4,"47,787",760,62.88,"321,668","98,902","1,267","77,659",1.27,0.44,0.98,0.35
0.45,"6,052",544,11.12,"327,720","92,850","1,811","77,115",1.20,0.45,0.98,0.34
0.5,"34,013","2,316",14.69,"361,733","58,837","4,127","74,799",0.79,0.56,0.95,0.27
0.55,"4,846","1,136",4.27,"366,579","53,991","5,263","73,663",0.73,0.58,0.93,0.26
0.6,"21,242","5,328",3.99,"387,821","32,749","10,591","68,335",0.48,0.68,0.87,0.20
0.65,"3,824","1,788",2.14,"391,645","28,925","12,379","66,547",0.43,0.70,0.84,0.19
0.7,"12,837","10,507",1.22,"404,482","16,088","22,886","56,040",0.29,0.78,0.71,0.14
0.75,"2,948","2,251",1.31,"407,430","13,140","25,137","53,789",0.24,0.80,0.68,0.13
0.8,"6,910","15,802",0.44,"414,340","6,230","40,939","37,987",0.16,0.86,0.48,0.09
0.85,"1,928","2,277",0.85,"416,268","4,302","43,216","35,710",0.12,0.89,0.45,0.08
0.9,"2,837","18,939",0.15,"419,105","1,465","62,155","16,771",0.09,0.92,0.21,0.04
0.95,684,"1,299",0.53,"419,789",781,"63,454","15,472",0.05,0.95,0.20,0.03
1.0,781,"15,472",0.05,"420,570",0,"78,926",0,nan,nan,0.00,0.00
