,Neg,Pos,N/P,TN,FP,FN,TP,FP/TP,Prec.,Rec.,$\hat{p}$
"(-0.001, 0.01]",0,0,nan,0,"420,570",0,"78,926",5.33,0.16,1.00,1.00
"(0.01, 0.02]",1,0,inf,1,"420,569",0,"78,926",5.33,0.16,1.00,1.00
"(0.02, 0.03]",23,0,inf,24,"420,546",0,"78,926",5.33,0.16,1.00,1.00
"(0.03, 0.04]",148,2,74.00,172,"420,398",2,"78,924",5.33,0.16,1.00,1.00
"(0.04, 0.05]",424,2,212.00,596,"419,974",4,"78,922",5.32,0.16,1.00,1.00
"(0.05, 0.06]",790,9,87.78,"1,386","419,184",13,"78,913",5.31,0.16,1.00,1.00
"(0.06, 0.07]","1,457",15,97.13,"2,843","417,727",28,"78,898",5.29,0.16,1.00,0.99
"(0.07, 0.08]","2,021",26,77.73,"4,864","415,706",54,"78,872",5.27,0.16,1.00,0.99
"(0.08, 0.09]","2,587",36,71.86,"7,451","413,119",90,"78,836",5.24,0.16,1.00,0.98
"(0.09, 0.1]","3,109",58,53.60,"10,560","410,010",148,"78,778",5.20,0.16,1.00,0.98
"(0.1, 0.11]","3,697",62,59.63,"14,257","406,313",210,"78,716",5.16,0.16,1.00,0.97
"(0.11, 0.12]","4,309",93,46.33,"18,566","402,004",303,"78,623",5.11,0.16,1.00,0.96
"(0.12, 0.13]","4,782",101,47.35,"23,348","397,222",404,"78,522",5.06,0.17,0.99,0.95
"(0.13, 0.14]","5,227",141,37.07,"28,575","391,995",545,"78,381",5.00,0.17,0.99,0.94
"(0.14, 0.15]","5,656",151,37.46,"34,231","386,339",696,"78,230",4.94,0.17,0.99,0.93
"(0.15, 0.16]","6,067",164,36.99,"40,298","380,272",860,"78,066",4.87,0.17,0.99,0.92
"(0.16, 0.17]","6,444",197,32.71,"46,742","373,828","1,057","77,869",4.80,0.17,0.99,0.90
"(0.17, 0.18]","6,731",256,26.29,"53,473","367,097","1,313","77,613",4.73,0.17,0.98,0.89
"(0.18, 0.19]","6,938",244,28.43,"60,411","360,159","1,557","77,369",4.66,0.18,0.98,0.88
"(0.19, 0.2]","7,050",286,24.65,"67,461","353,109","1,843","77,083",4.58,0.18,0.98,0.86
"(0.2, 0.21]","7,192",326,22.06,"74,653","345,917","2,169","76,757",4.51,0.18,0.97,0.85
"(0.21, 0.22]","7,420",336,22.08,"82,073","338,497","2,505","76,421",4.43,0.18,0.97,0.83
"(0.22, 0.23]","7,636",379,20.15,"89,709","330,861","2,884","76,042",4.35,0.19,0.96,0.81
"(0.23, 0.24]","7,772",418,18.59,"97,481","323,089","3,302","75,624",4.27,0.19,0.96,0.80
"(0.24, 0.25]","7,857",467,16.82,"105,338","315,232","3,769","75,157",4.19,0.19,0.95,0.78
"(0.25, 0.26]","7,885",494,15.96,"113,223","307,347","4,263","74,663",4.12,0.20,0.95,0.76
"(0.26, 0.27]","8,088",488,16.57,"121,311","299,259","4,751","74,175",4.03,0.20,0.94,0.75
"(0.27, 0.28]","8,150",521,15.64,"129,461","291,109","5,272","73,654",3.95,0.20,0.93,0.73
"(0.28, 0.29]","8,252",595,13.87,"137,713","282,857","5,867","73,059",3.87,0.21,0.93,0.71
"(0.29, 0.3]","8,226",587,14.01,"145,939","274,631","6,454","72,472",3.79,0.21,0.92,0.69
"(0.3, 0.31]","8,144",628,12.97,"154,083","266,487","7,082","71,844",3.71,0.21,0.91,0.68
"(0.31, 0.32]","8,258",659,12.53,"162,341","258,229","7,741","71,185",3.63,0.22,0.90,0.66
"(0.32, 0.33]","8,058",725,11.11,"170,399","250,171","8,466","70,460",3.55,0.22,0.89,0.64
"(0.33, 0.34]","8,134",803,10.13,"178,533","242,037","9,269","69,657",3.47,0.22,0.88,0.62
"(0.34, 0.35]","8,027",774,10.37,"186,560","234,010","10,043","68,883",3.40,0.23,0.87,0.61
"(0.35, 0.36]","7,986",851,9.38,"194,546","226,024","10,894","68,032",3.32,0.23,0.86,0.59
