p,Neg,Pos,Neg/Pos,TN,FP,FN,TP,FP/TP,Prec.,Rec.,$\hat{p}$
0.0,0,0,nan,0,"420,570",0,"78,926",5.33,0.16,1.00,1.00
0.05,"75,020","2,256",33.25,"75,020","345,550","2,256","76,670",4.51,0.18,0.97,0.85
0.1,"124,256","9,366",13.27,"199,276","221,294","11,622","67,304",3.29,0.23,0.85,0.58
0.15,"83,601","12,042",6.94,"282,877","137,693","23,664","55,262",2.49,0.29,0.70,0.39
0.2,"51,011","11,286",4.52,"333,888","86,682","34,950","43,976",1.97,0.34,0.56,0.26
0.25,"30,941","9,530",3.25,"364,829","55,741","44,480","34,446",1.62,0.38,0.44,0.18
0.3,"19,629","7,714",2.54,"384,458","36,112","52,194","26,732",1.35,0.43,0.34,0.13
0.35,"12,366","6,056",2.04,"396,824","23,746","58,250","20,676",1.15,0.47,0.26,0.09
0.4,"8,072","5,071",1.59,"404,896","15,674","63,321","15,605",1.00,0.50,0.20,0.06
0.45,"5,397","4,122",1.31,"410,293","10,277","67,443","11,483",0.89,0.53,0.15,0.04
0.5,"3,644","3,128",1.16,"413,937","6,633","70,571","8,355",0.79,0.56,0.11,0.03
0.55,"2,474","2,393",1.03,"416,411","4,159","72,964","5,962",0.70,0.59,0.08,0.02
0.6,"1,596","1,802",0.89,"418,007","2,563","74,766","4,160",0.62,0.62,0.05,0.01
0.65,"1,091","1,373",0.79,"419,098","1,472","76,139","2,787",0.53,0.65,0.04,0.01
0.7,653,"1,007",0.65,"419,751",819,"77,146","1,780",0.46,0.68,0.02,0.01
0.75,410,721,0.57,"420,161",409,"77,867","1,059",0.39,0.72,0.01,0.00
0.8,263,576,0.46,"420,424",146,"78,443",483,0.30,0.77,0.01,0.00
0.85,117,340,0.34,"420,541",29,"78,783",143,0.20,0.83,0.00,0.00
0.9,27,133,0.20,"420,568",2,"78,916",10,0.20,0.83,0.00,0.00
0.95,2,10,0.20,"420,570",0,"78,926",0,nan,nan,0.00,0.00
1.0,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
