p,Neg,Pos,Neg/Pos,TN,FP,FN,TP,FP/TP,Prec.,Rec.,$\hat{p}$
0.0,0,0,nan,0,"420,570",0,"78,926",5.33,0.16,1.00,1.00
0.05,0,0,nan,0,"420,570",0,"78,926",5.33,0.16,1.00,1.00
0.1,518,8,64.75,518,"420,052",8,"78,918",5.32,0.16,1.00,1.00
0.15,"10,389",372,27.93,"10,907","409,663",380,"78,546",5.22,0.16,1.00,0.98
0.2,"27,177","1,452",18.72,"38,084","382,486","1,832","77,094",4.96,0.17,0.98,0.92
0.25,"32,703","2,234",14.64,"70,787","349,783","4,066","74,860",4.67,0.18,0.95,0.85
0.3,"30,435","2,788",10.92,"101,222","319,348","6,854","72,072",4.43,0.18,0.91,0.78
0.35,"46,430","5,269",8.81,"147,652","272,918","12,123","66,803",4.09,0.20,0.85,0.68
0.4,"65,056","9,413",6.91,"212,708","207,862","21,536","57,390",3.62,0.22,0.73,0.53
0.45,"57,516","10,192",5.64,"270,224","150,346","31,728","47,198",3.19,0.24,0.60,0.40
0.5,"42,642","9,229",4.62,"312,866","107,704","40,957","37,969",2.84,0.26,0.48,0.29
0.55,"36,687","9,579",3.83,"349,553","71,017","50,536","28,390",2.50,0.29,0.36,0.20
0.6,"29,645","9,602",3.09,"379,198","41,372","60,138","18,788",2.20,0.31,0.24,0.12
0.65,"23,290","9,027",2.58,"402,488","18,082","69,165","9,761",1.85,0.35,0.12,0.06
0.7,"12,547","6,070",2.07,"415,035","5,535","75,235","3,691",1.50,0.40,0.05,0.02
0.75,"4,465","2,833",1.58,"419,500","1,070","78,068",858,1.25,0.45,0.01,0.00
0.8,967,772,1.25,"420,467",103,"78,840",86,1.20,0.46,0.00,0.00
0.85,99,85,1.16,"420,566",4,"78,925",1,4.00,0.20,0.00,0.00
0.9,4,1,4.00,"420,570",0,"78,926",0,nan,nan,0.00,0.00
0.95,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
1.0,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
