p,Neg,Pos,Neg/Pos,TN,FP,FN,TP,FP/TP,Prec.,Rec.,$\hat{p}$
0.0,0,0,nan,0,"420,570",0,"78,926",5.33,0.16,1.00,1.00
0.01,0,0,nan,0,"420,570",0,"78,926",5.33,0.16,1.00,1.00
0.02,0,0,nan,0,"420,570",0,"78,926",5.33,0.16,1.00,1.00
0.03,13,0,inf,13,"420,557",0,"78,926",5.33,0.16,1.00,1.00
0.04,18,1,18.00,31,"420,539",1,"78,925",5.33,0.16,1.00,1.00
0.05,116,0,inf,147,"420,423",1,"78,925",5.33,0.16,1.00,1.00
0.06,728,21,34.67,875,"419,695",22,"78,904",5.32,0.16,1.00,1.00
0.07,"2,526",84,30.07,"3,401","417,169",106,"78,820",5.29,0.16,1.00,0.99
0.08,"3,237",109,29.70,"6,638","413,932",215,"78,711",5.26,0.16,1.00,0.99
0.09,"6,267",271,23.13,"12,905","407,665",486,"78,440",5.20,0.16,0.99,0.97
0.1,"10,774",509,21.17,"23,679","396,891",995,"77,931",5.09,0.16,0.99,0.95
0.11,"11,599",679,17.08,"35,278","385,292","1,674","77,252",4.99,0.17,0.98,0.93
0.12,"9,034",578,15.63,"44,312","376,258","2,252","76,674",4.91,0.17,0.97,0.91
0.13,"9,040",623,14.51,"53,352","367,218","2,875","76,051",4.83,0.17,0.96,0.89
0.14,"10,624",707,15.03,"63,976","356,594","3,582","75,344",4.73,0.17,0.95,0.86
0.15,"8,941",738,12.12,"72,917","347,653","4,320","74,606",4.66,0.18,0.95,0.85
0.16,"8,794",739,11.90,"81,711","338,859","5,059","73,867",4.59,0.18,0.94,0.83
0.17,"8,509",800,10.64,"90,220","330,350","5,859","73,067",4.52,0.18,0.93,0.81
0.18,"9,098",961,9.47,"99,318","321,252","6,820","72,106",4.46,0.18,0.91,0.79
0.19,"10,073","1,087",9.27,"109,391","311,179","7,907","71,019",4.38,0.19,0.90,0.77
0.2,"12,436","1,415",8.79,"121,827","298,743","9,322","69,604",4.29,0.19,0.88,0.74
0.21,"14,339","1,690",8.48,"136,166","284,404","11,012","67,914",4.19,0.19,0.86,0.71
0.22,"14,911","1,819",8.20,"151,077","269,493","12,831","66,095",4.08,0.20,0.84,0.67
0.23,"18,685","2,388",7.82,"169,762","250,808","15,219","63,707",3.94,0.20,0.81,0.63
0.24,"17,672","2,565",6.89,"187,434","233,136","17,784","61,142",3.81,0.21,0.77,0.59
0.25,"21,666","3,445",6.29,"209,100","211,470","21,229","57,697",3.67,0.21,0.73,0.54
0.26,"18,575","2,915",6.37,"227,675","192,895","24,144","54,782",3.52,0.22,0.69,0.50
0.27,"16,576","2,891",5.73,"244,251","176,319","27,035","51,891",3.40,0.23,0.66,0.46
0.28,"14,847","2,660",5.58,"259,098","161,472","29,695","49,231",3.28,0.23,0.62,0.42
0.29,"12,372","2,416",5.12,"271,470","149,100","32,111","46,815",3.18,0.24,0.59,0.39
0.3,"11,213","2,211",5.07,"282,683","137,887","34,322","44,604",3.09,0.24,0.57,0.37
0.31,"9,935","2,137",4.65,"292,618","127,952","36,459","42,467",3.01,0.25,0.54,0.34
0.32,"8,654","1,923",4.50,"301,272","119,298","38,382","40,544",2.94,0.25,0.51,0.32
0.33,"8,574","1,971",4.35,"309,846","110,724","40,353","38,573",2.87,0.26,0.49,0.30
0.34,"8,477","1,959",4.33,"318,323","102,247","42,312","36,614",2.79,0.26,0.46,0.28
0.35,"8,586","2,118",4.05,"326,909","93,661","44,430","34,496",2.72,0.27,0.44,0.26
0.36,"7,905","2,038",3.88,"334,814","85,756","46,468","32,458",2.64,0.27,0.41,0.24
0.37,"7,987","2,191",3.65,"342,801","77,769","48,659","30,267",2.57,0.28,0.38,0.22
0.38,"7,703","2,256",3.41,"350,504","70,066","50,915","28,011",2.50,0.29,0.35,0.20
0.39,"7,026","2,062",3.41,"357,530","63,040","52,977","25,949",2.43,0.29,0.33,0.18
0.4,"6,010","1,896",3.17,"363,540","57,030","54,873","24,053",2.37,0.30,0.30,0.16
0.41,"5,958","1,942",3.07,"369,498","51,072","56,815","22,111",2.31,0.30,0.28,0.15
0.42,"5,664","1,863",3.04,"375,162","45,408","58,678","20,248",2.24,0.31,0.26,0.13
0.43,"5,542","1,855",2.99,"380,704","39,866","60,533","18,393",2.17,0.32,0.23,0.12
0.44,"5,412","2,025",2.67,"386,116","34,454","62,558","16,368",2.10,0.32,0.21,0.10
0.45,"5,684","2,214",2.57,"391,800","28,770","64,772","14,154",2.03,0.33,0.18,0.09
0.46,"4,654","1,805",2.58,"396,454","24,116","66,577","12,349",1.95,0.34,0.16,0.07
0.47,"3,991","1,553",2.57,"400,445","20,125","68,130","10,796",1.86,0.35,0.14,0.06
0.48,"3,064","1,316",2.33,"403,509","17,061","69,446","9,480",1.80,0.36,0.12,0.05
0.49,"2,385","1,119",2.13,"405,894","14,676","70,565","8,361",1.76,0.36,0.11,0.05
0.5,"2,599","1,146",2.27,"408,493","12,077","71,711","7,215",1.67,0.37,0.09,0.04
0.51,"2,047",991,2.07,"410,540","10,030","72,702","6,224",1.61,0.38,0.08,0.03
0.52,"1,951","1,022",1.91,"412,491","8,079","73,724","5,202",1.55,0.39,0.07,0.03
0.53,"1,625",896,1.81,"414,116","6,454","74,620","4,306",1.50,0.40,0.05,0.02
0.54,"1,304",736,1.77,"415,420","5,150","75,356","3,570",1.44,0.41,0.05,0.02
0.55,942,603,1.56,"416,362","4,208","75,959","2,967",1.42,0.41,0.04,0.01
0.56,887,540,1.64,"417,249","3,321","76,499","2,427",1.37,0.42,0.03,0.01
0.57,731,477,1.53,"417,980","2,590","76,976","1,950",1.33,0.43,0.02,0.01
0.58,619,402,1.54,"418,599","1,971","77,378","1,548",1.27,0.44,0.02,0.01
0.59,377,287,1.31,"418,976","1,594","77,665","1,261",1.26,0.44,0.02,0.01
0.6,335,247,1.36,"419,311","1,259","77,912","1,014",1.24,0.45,0.01,0.00
0.61,262,183,1.43,"419,573",997,"78,095",831,1.20,0.45,0.01,0.00
0.62,195,151,1.29,"419,768",802,"78,246",680,1.18,0.46,0.01,0.00
0.63,203,164,1.24,"419,971",599,"78,410",516,1.16,0.46,0.01,0.00
0.64,200,156,1.28,"420,171",399,"78,566",360,1.11,0.47,0.00,0.00
0.65,108,96,1.12,"420,279",291,"78,662",264,1.10,0.48,0.00,0.00
0.66,103,57,1.81,"420,382",188,"78,719",207,0.91,0.52,0.00,0.00
0.67,53,57,0.93,"420,435",135,"78,776",150,0.90,0.53,0.00,0.00
0.68,34,23,1.48,"420,469",101,"78,799",127,0.80,0.56,0.00,0.00
0.69,58,51,1.14,"420,527",43,"78,850",76,0.57,0.64,0.00,0.00
0.7,25,28,0.89,"420,552",18,"78,878",48,0.38,0.73,0.00,0.00
0.71,12,22,0.55,"420,564",6,"78,900",26,0.23,0.81,0.00,0.00
0.72,3,1,3.00,"420,567",3,"78,901",25,0.12,0.89,0.00,0.00
0.73,1,20,0.05,"420,568",2,"78,921",5,0.40,0.71,0.00,0.00
0.74,0,3,0.00,"420,568",2,"78,924",2,1.00,0.50,0.00,0.00
0.75,0,0,nan,"420,568",2,"78,924",2,1.00,0.50,0.00,0.00
0.76,0,0,nan,"420,568",2,"78,924",2,1.00,0.50,0.00,0.00
0.77,2,2,1.00,"420,570",0,"78,926",0,nan,nan,0.00,0.00
0.78,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
0.79,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
0.8,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
0.81,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
0.82,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
0.83,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
0.84,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
0.85,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
0.86,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
0.87,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
0.88,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
0.89,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
0.9,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
0.91,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
0.92,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
0.93,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
0.94,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
0.95,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
0.96,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
0.97,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
0.98,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
0.99,0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
