p,Neg,Pos,Neg/Pos,TN,FP,FN,TP,FP/TP,Prec.,Rec.,$\hat{p}$
0.0,0,0,nan,0,"420,570",0,"78,926",5.33,0.16,1.00,1.00
0.01,"1,860",1,1860.00,"1,860","418,710",1,"78,925",5.31,0.16,1.00,1.00
0.02,"3,334",11,303.09,"5,194","415,376",12,"78,914",5.26,0.16,1.00,0.99
0.03,"4,546",21,216.48,"9,740","410,830",33,"78,893",5.21,0.16,1.00,0.98
0.04,"5,487",34,161.38,"15,227","405,343",67,"78,859",5.14,0.16,1.00,0.97
0.05,"5,951",51,116.69,"21,178","399,392",118,"78,808",5.07,0.16,1.00,0.96
0.06,"6,229",71,87.73,"27,407","393,163",189,"78,737",4.99,0.17,1.00,0.94
0.07,"6,667",85,78.44,"34,074","386,496",274,"78,652",4.91,0.17,1.00,0.93
0.08,"6,688",78,85.74,"40,762","379,808",352,"78,574",4.83,0.17,1.00,0.92
0.09,"6,867",114,60.24,"47,629","372,941",466,"78,460",4.75,0.17,0.99,0.90
0.1,"6,954",117,59.44,"54,583","365,987",583,"78,343",4.67,0.18,0.99,0.89
0.11,"6,774",135,50.18,"61,357","359,213",718,"78,208",4.59,0.18,0.99,0.88
0.12,"6,929",162,42.77,"68,286","352,284",880,"78,046",4.51,0.18,0.99,0.86
0.13,"6,964",179,38.91,"75,250","345,320","1,059","77,867",4.43,0.18,0.99,0.85
0.14,"6,961",219,31.79,"82,211","338,359","1,278","77,648",4.36,0.19,0.98,0.83
0.15,"6,873",212,32.42,"89,084","331,486","1,490","77,436",4.28,0.19,0.98,0.82
0.16,"6,901",207,33.34,"95,985","324,585","1,697","77,229",4.20,0.19,0.98,0.80
0.17,"6,847",231,29.64,"102,832","317,738","1,928","76,998",4.13,0.20,0.98,0.79
0.18,"6,780",254,26.69,"109,612","310,958","2,182","76,744",4.05,0.20,0.97,0.78
0.19,"6,792",232,29.28,"116,404","304,166","2,414","76,512",3.98,0.20,0.97,0.76
0.2,"6,776",292,23.21,"123,180","297,390","2,706","76,220",3.90,0.20,0.97,0.75
0.21,"6,573",324,20.29,"129,753","290,817","3,030","75,896",3.83,0.21,0.96,0.73
0.22,"6,609",349,18.94,"136,362","284,208","3,379","75,547",3.76,0.21,0.96,0.72
0.23,"6,602",335,19.71,"142,964","277,606","3,714","75,212",3.69,0.21,0.95,0.71
0.24,"6,683",371,18.01,"149,647","270,923","4,085","74,841",3.62,0.22,0.95,0.69
0.25,"6,370",374,17.03,"156,017","264,553","4,459","74,467",3.55,0.22,0.94,0.68
0.26,"6,425",405,15.86,"162,442","258,128","4,864","74,062",3.49,0.22,0.94,0.67
0.27,"6,365",446,14.27,"168,807","251,763","5,310","73,616",3.42,0.23,0.93,0.65
0.28,"6,316",422,14.97,"175,123","245,447","5,732","73,194",3.35,0.23,0.93,0.64
