,Neg,Pos,N/P,TN,FP,FN,TP,FP/TP,Prec.,Rec.,$\hat{p}$
"(-0.001, 0.05]","6,083",52,116.98,"6,083","174,162",52,"33,773",5.16,0.16,1.00,0.97
"(0.05, 0.1]","19,176",406,47.23,"25,259","154,986",458,"33,367",4.64,0.18,0.99,0.88
"(0.1, 0.15]","24,649","1,046",23.57,"49,908","130,337","1,504","32,321",4.03,0.20,0.96,0.76
"(0.15, 0.2]","25,194","1,722",14.63,"75,102","105,143","3,226","30,599",3.44,0.23,0.90,0.63
"(0.2, 0.25]","23,460","2,441",9.61,"98,562","81,683","5,667","28,158",2.90,0.26,0.83,0.51
"(0.25, 0.3]","19,973","2,887",6.92,"118,535","61,710","8,554","25,271",2.44,0.29,0.75,0.41
"(0.3, 0.35]","16,407","3,145",5.22,"134,942","45,303","11,699","22,126",2.05,0.33,0.65,0.31
"(0.35, 0.4]","13,158","3,167",4.15,"148,100","32,145","14,866","18,959",1.70,0.37,0.56,0.24
"(0.4, 0.45]","9,904","3,163",3.13,"158,004","22,241","18,029","15,796",1.41,0.42,0.47,0.18
"(0.45, 0.5]","7,405","2,875",2.58,"165,409","14,836","20,904","12,921",1.15,0.47,0.38,0.13
"(0.5, 0.55]","5,147","2,648",1.94,"170,556","9,689","23,552","10,273",0.94,0.51,0.30,0.09
"(0.55, 0.6]","3,620","2,421",1.50,"174,176","6,069","25,973","7,852",0.77,0.56,0.23,0.07
"(0.6, 0.65]","2,368","1,969",1.20,"176,544","3,701","27,942","5,883",0.63,0.61,0.17,0.04
"(0.65, 0.7]","1,543","1,631",0.95,"178,087","2,158","29,573","4,252",0.51,0.66,0.13,0.03
"(0.7, 0.75]",944,"1,332",0.71,"179,031","1,214","30,905","2,920",0.42,0.71,0.09,0.02
"(0.75, 0.8]",647,"1,181",0.55,"179,678",567,"32,086","1,739",0.33,0.75,0.05,0.01
"(0.8, 0.85]",374,"1,022",0.37,"180,052",193,"33,108",717,0.27,0.79,0.02,0.00
"(0.85, 0.9]",174,606,0.29,"180,226",19,"33,714",111,0.17,0.85,0.00,0.00
"(0.9, 0.95]",19,101,0.19,"180,245",0,"33,815",10,0.00,1.00,0.00,0.00
"(0.95, 1.0]",0,10,0.00,"180,245",0,"33,825",0,nan,nan,0.00,0.00
