p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,"2,384",13,0.01,"2,384","177,861",13,"33,812",0.16,1.00,0.99
0.05,"4,983",68,0.01,"7,367","172,878",81,"33,744",0.16,1.00,0.97
0.1,"7,876",143,0.02,"15,243","165,002",224,"33,601",0.17,0.99,0.93
0.15,"9,972",244,0.02,"25,215","155,030",468,"33,357",0.18,0.99,0.88
0.2,"12,262",444,0.03,"37,477","142,768",912,"32,913",0.19,0.97,0.82
0.25,"13,625",638,0.04,"51,102","129,143","1,550","32,275",0.20,0.95,0.75
0.3,"14,541",924,0.06,"65,643","114,602","2,474","31,351",0.21,0.93,0.68
0.35,"15,161","1,287",0.08,"80,804","99,441","3,761","30,064",0.23,0.89,0.60
0.4,"15,130","1,631",0.10,"95,934","84,311","5,392","28,433",0.25,0.84,0.53
0.45,"14,769","1,848",0.11,"110,703","69,542","7,240","26,585",0.28,0.79,0.45
0.5,"13,654","2,304",0.14,"124,357","55,888","9,544","24,281",0.30,0.72,0.37
0.55,"12,664","2,576",0.17,"137,021","43,224","12,120","21,705",0.33,0.64,0.30
0.6,"11,152","2,895",0.21,"148,173","32,072","15,015","18,810",0.37,0.56,0.24
0.65,"9,427","2,919",0.24,"157,600","22,645","17,934","15,891",0.41,0.47,0.18
0.7,"7,600","3,086",0.29,"165,200","15,045","21,020","12,805",0.46,0.38,0.13
0.75,"5,635","2,863",0.34,"170,835","9,410","23,883","9,942",0.51,0.29,0.09
0.8,"3,919","2,645",0.40,"174,754","5,491","26,528","7,297",0.57,0.22,0.06
0.85,"2,682","2,427",0.48,"177,436","2,809","28,955","4,870",0.63,0.14,0.04
0.9,"1,492","1,913",0.56,"178,928","1,317","30,868","2,957",0.69,0.09,0.02
0.95,834,"1,485",0.64,"179,762",483,"32,353","1,472",0.75,0.04,0.01
1.0,483,"1,472",0.75,"180,245",0,"33,825",0,nan,0.00,0.00
