p,Neg,Pos,Neg/Pos,TN,FP,FN,TP,FP/TP,Prec.,Rec.,$\hat{p}$
0.0,0,0,nan,0,"420,570",0,"78,926",5.33,0.16,1.00,1.00
0.05,596,4,149.00,596,"419,974",4,"78,922",5.32,0.16,1.00,1.00
0.1,"9,964",144,69.19,"10,560","410,010",148,"78,778",5.20,0.16,1.00,0.98
0.15,"23,671",548,43.20,"34,231","386,339",696,"78,230",4.94,0.17,0.99,0.93
0.2,"33,230","1,147",28.97,"67,461","353,109","1,843","77,083",4.58,0.18,0.98,0.86
0.25,"37,877","1,926",19.67,"105,338","315,232","3,769","75,157",4.19,0.19,0.95,0.78
0.3,"40,601","2,685",15.12,"145,939","274,631","6,454","72,472",3.79,0.21,0.92,0.69
0.35,"40,621","3,589",11.32,"186,560","234,010","10,043","68,883",3.40,0.23,0.87,0.61
0.4,"38,858","4,515",8.61,"225,418","195,152","14,558","64,368",3.03,0.25,0.82,0.52
0.45,"35,604","5,193",6.86,"261,022","159,548","19,751","59,175",2.70,0.27,0.75,0.44
0.5,"32,704","5,774",5.66,"293,726","126,844","25,525","53,401",2.38,0.30,0.68,0.36
0.55,"28,411","6,304",4.51,"322,137","98,433","31,829","47,097",2.09,0.32,0.60,0.29
0.6,"24,446","6,667",3.67,"346,583","73,987","38,496","40,430",1.83,0.35,0.51,0.23
0.65,"20,292","6,826",2.97,"366,875","53,695","45,322","33,604",1.60,0.38,0.43,0.17
0.7,"16,824","6,743",2.50,"383,699","36,871","52,065","26,861",1.37,0.42,0.34,0.13
0.75,"12,969","6,530",1.99,"396,668","23,902","58,595","20,331",1.18,0.46,0.26,0.09
0.8,"9,867","6,357",1.55,"406,535","14,035","64,952","13,974",1.00,0.50,0.18,0.06
0.85,"7,068","5,688",1.24,"413,603","6,967","70,640","8,286",0.84,0.54,0.10,0.03
0.9,"4,503","4,501",1.00,"418,106","2,464","75,141","3,785",0.65,0.61,0.05,0.01
0.95,"2,103","2,895",0.73,"420,209",361,"78,036",890,0.41,0.71,0.01,0.00
1.0,361,890,0.41,"420,570",0,"78,926",0,nan,nan,0.00,0.00
