p,Neg,Pos,Neg/Pos,TN,FP,FN,TP,FP/TP,Prec.,Rec.,$\hat{p}$
0.0,0,0,nan,0,"420,570",0,"78,926",5.33,0.16,1.00,1.00
0.01,"1,501",2,750.50,"1,501","419,069",2,"78,924",5.31,0.16,1.00,1.00
0.02,"1,653",3,551.00,"3,154","417,416",5,"78,921",5.29,0.16,1.00,0.99
0.03,"2,138",4,534.50,"5,292","415,278",9,"78,917",5.26,0.16,1.00,0.99
0.04,"2,549",11,231.73,"7,841","412,729",20,"78,906",5.23,0.16,1.00,0.98
0.05,"2,708",9,300.89,"10,549","410,021",29,"78,897",5.20,0.16,1.00,0.98
0.06,"2,976",10,297.60,"13,525","407,045",39,"78,887",5.16,0.16,1.00,0.97
0.07,"3,041",10,304.10,"16,566","404,004",49,"78,877",5.12,0.16,1.00,0.97
0.08,"3,300",23,143.48,"19,866","400,704",72,"78,854",5.08,0.16,1.00,0.96
0.09,"3,333",30,111.10,"23,199","397,371",102,"78,824",5.04,0.17,1.00,0.95
0.1,"3,474",23,151.04,"26,673","393,897",125,"78,801",5.00,0.17,1.00,0.95
0.11,"3,536",23,153.74,"30,209","390,361",148,"78,778",4.96,0.17,1.00,0.94
0.12,"3,618",46,78.65,"33,827","386,743",194,"78,732",4.91,0.17,1.00,0.93
0.13,"3,658",26,140.69,"37,485","383,085",220,"78,706",4.87,0.17,1.00,0.92
0.14,"3,781",46,82.20,"41,266","379,304",266,"78,660",4.82,0.17,1.00,0.92
0.15,"3,912",54,72.44,"45,178","375,392",320,"78,606",4.78,0.17,1.00,0.91
0.16,"3,986",55,72.47,"49,164","371,406",375,"78,551",4.73,0.17,1.00,0.90
0.17,"3,993",59,67.68,"53,157","367,413",434,"78,492",4.68,0.18,0.99,0.89
0.18,"4,055",59,68.73,"57,212","363,358",493,"78,433",4.63,0.18,0.99,0.88
0.19,"3,984",80,49.80,"61,196","359,374",573,"78,353",4.59,0.18,0.99,0.88
0.2,"4,084",86,47.49,"65,280","355,290",659,"78,267",4.54,0.18,0.99,0.87
0.21,"4,198",100,41.98,"69,478","351,092",759,"78,167",4.49,0.18,0.99,0.86
0.22,"4,220",86,49.07,"73,698","346,872",845,"78,081",4.44,0.18,0.99,0.85
0.23,"4,166",102,40.84,"77,864","342,706",947,"77,979",4.39,0.19,0.99,0.84
0.24,"4,164",102,40.82,"82,028","338,542","1,049","77,877",4.35,0.19,0.99,0.83
0.25,"4,333",135,32.10,"86,361","334,209","1,184","77,742",4.30,0.19,0.98,0.82
0.26,"4,298",129,33.32,"90,659","329,911","1,313","77,613",4.25,0.19,0.98,0.82
0.27,"4,440",115,38.61,"95,099","325,471","1,428","77,498",4.20,0.19,0.98,0.81
0.28,"4,292",146,29.40,"99,391","321,179","1,574","77,352",4.15,0.19,0.98,0.80
0.29,"4,424",143,30.94,"103,815","316,755","1,717","77,209",4.10,0.20,0.98,0.79
0.3,"4,446",128,34.73,"108,261","312,309","1,845","77,081",4.05,0.20,0.98,0.78
0.31,"4,400",177,24.86,"112,661","307,909","2,022","76,904",4.00,0.20,0.97,0.77
0.32,"4,577",182,25.15,"117,238","303,332","2,204","76,722",3.95,0.20,0.97,0.76
0.33,"4,445",179,24.83,"121,683","298,887","2,383","76,543",3.90,0.20,0.97,0.75
0.34,"4,525",218,20.76,"126,208","294,362","2,601","76,325",3.86,0.21,0.97,0.74
0.35,"4,583",183,25.04,"130,791","289,779","2,784","76,142",3.81,0.21,0.96,0.73
0.36,"4,701",219,21.47,"135,492","285,078","3,003","75,923",3.75,0.21,0.96,0.72
0.37,"4,708",249,18.91,"140,200","280,370","3,252","75,674",3.70,0.21,0.96,0.71
0.38,"4,786",266,17.99,"144,986","275,584","3,518","75,408",3.65,0.21,0.96,0.70
0.39,"4,771",282,16.92,"149,757","270,813","3,800","75,126",3.60,0.22,0.95,0.69
0.4,"4,687",299,15.68,"154,444","266,126","4,099","74,827",3.56,0.22,0.95,0.68
0.41,"4,821",287,16.80,"159,265","261,305","4,386","74,540",3.51,0.22,0.94,0.67
0.42,"4,845",330,14.68,"164,110","256,460","4,716","74,210",3.46,0.22,0.94,0.66
0.43,"4,978",314,15.85,"169,088","251,482","5,030","73,896",3.40,0.23,0.94,0.65
0.44,"4,947",366,13.52,"174,035","246,535","5,396","73,530",3.35,0.23,0.93,0.64
0.45,"5,080",338,15.03,"179,115","241,455","5,734","73,192",3.30,0.23,0.93,0.63
0.46,"5,058",392,12.90,"184,173","236,397","6,126","72,800",3.25,0.24,0.92,0.62
0.47,"4,988",396,12.60,"189,161","231,409","6,522","72,404",3.20,0.24,0.92,0.61
0.48,"4,964",451,11.01,"194,125","226,445","6,973","71,953",3.15,0.24,0.91,0.60
0.49,"5,086",483,10.53,"199,211","221,359","7,456","71,470",3.10,0.24,0.91,0.59
0.5,"5,023",435,11.55,"204,234","216,336","7,891","71,035",3.05,0.25,0.90,0.58
0.51,"5,184",475,10.91,"209,418","211,152","8,366","70,560",2.99,0.25,0.89,0.56
0.52,"5,304",526,10.08,"214,722","205,848","8,892","70,034",2.94,0.25,0.89,0.55
0.53,"5,171",565,9.15,"219,893","200,677","9,457","69,469",2.89,0.26,0.88,0.54
0.54,"5,275",521,10.12,"225,168","195,402","9,978","68,948",2.83,0.26,0.87,0.53
0.55,"5,165",605,8.54,"230,333","190,237","10,583","68,343",2.78,0.26,0.87,0.52
0.56,"5,261",604,8.71,"235,594","184,976","11,187","67,739",2.73,0.27,0.86,0.51
0.57,"5,116",676,7.57,"240,710","179,860","11,863","67,063",2.68,0.27,0.85,0.49
0.58,"5,306",642,8.26,"246,016","174,554","12,505","66,421",2.63,0.28,0.84,0.48
0.59,"5,308",717,7.40,"251,324","169,246","13,222","65,704",2.58,0.28,0.83,0.47
0.6,"5,327",745,7.15,"256,651","163,919","13,967","64,959",2.52,0.28,0.82,0.46
0.61,"5,374",750,7.17,"262,025","158,545","14,717","64,209",2.47,0.29,0.81,0.45
0.62,"5,190",809,6.42,"267,215","153,355","15,526","63,400",2.42,0.29,0.80,0.43
0.63,"5,405",837,6.46,"272,620","147,950","16,363","62,563",2.36,0.30,0.79,0.42
0.64,"5,428",932,5.82,"278,048","142,522","17,295","61,631",2.31,0.30,0.78,0.41
0.65,"5,480",882,6.21,"283,528","137,042","18,177","60,749",2.26,0.31,0.77,0.40
0.66,"5,264",920,5.72,"288,792","131,778","19,097","59,829",2.20,0.31,0.76,0.38
0.67,"5,324",962,5.53,"294,116","126,454","20,059","58,867",2.15,0.32,0.75,0.37
0.68,"5,386","1,004",5.36,"299,502","121,068","21,063","57,863",2.09,0.32,0.73,0.36
0.69,"5,275","1,095",4.82,"304,777","115,793","22,158","56,768",2.04,0.33,0.72,0.35
0.7,"5,453","1,155",4.72,"310,230","110,340","23,313","55,613",1.98,0.34,0.70,0.33
0.71,"5,344","1,220",4.38,"315,574","104,996","24,533","54,393",1.93,0.34,0.69,0.32
0.72,"5,243","1,318",3.98,"320,817","99,753","25,851","53,075",1.88,0.35,0.67,0.31
0.73,"5,362","1,220",4.40,"326,179","94,391","27,071","51,855",1.82,0.35,0.66,0.29
0.74,"5,196","1,335",3.89,"331,375","89,195","28,406","50,520",1.77,0.36,0.64,0.28
0.75,"5,268","1,406",3.75,"336,643","83,927","29,812","49,114",1.71,0.37,0.62,0.27
0.76,"5,149","1,514",3.40,"341,792","78,778","31,326","47,600",1.66,0.38,0.60,0.25
0.77,"5,108","1,531",3.34,"346,900","73,670","32,857","46,069",1.60,0.38,0.58,0.24
0.78,"5,022","1,641",3.06,"351,922","68,648","34,498","44,428",1.55,0.39,0.56,0.23
0.79,"5,003","1,637",3.06,"356,925","63,645","36,135","42,791",1.49,0.40,0.54,0.21
0.8,"4,823","1,707",2.83,"361,748","58,822","37,842","41,084",1.43,0.41,0.52,0.20
0.81,"4,827","1,749",2.76,"366,575","53,995","39,591","39,335",1.37,0.42,0.50,0.19
0.82,"4,743","1,790",2.65,"371,318","49,252","41,381","37,545",1.31,0.43,0.48,0.17
0.83,"4,579","1,853",2.47,"375,897","44,673","43,234","35,692",1.25,0.44,0.45,0.16
0.84,"4,428","1,892",2.34,"380,325","40,245","45,126","33,800",1.19,0.46,0.43,0.15
0.85,"4,408","2,032",2.17,"384,733","35,837","47,158","31,768",1.13,0.47,0.40,0.14
0.86,"4,187","2,016",2.08,"388,920","31,650","49,174","29,752",1.06,0.48,0.38,0.12
0.87,"3,971","2,085",1.90,"392,891","27,679","51,259","27,667",1.00,0.50,0.35,0.11
0.88,"3,700","2,108",1.76,"396,591","23,979","53,367","25,559",0.94,0.52,0.32,0.10
0.89,"3,612","2,221",1.63,"400,203","20,367","55,588","23,338",0.87,0.53,0.30,0.09
0.9,"3,340","2,276",1.47,"403,543","17,027","57,864","21,062",0.81,0.55,0.27,0.08
0.91,"3,189","2,382",1.34,"406,732","13,838","60,246","18,680",0.74,0.57,0.24,0.07
0.92,"2,825","2,320",1.22,"409,557","11,013","62,566","16,360",0.67,0.60,0.21,0.05
0.93,"2,503","2,336",1.07,"412,060","8,510","64,902","14,024",0.61,0.62,0.18,0.05
0.94,"2,201","2,240",0.98,"414,261","6,309","67,142","11,784",0.54,0.65,0.15,0.04
0.95,"1,873","2,237",0.84,"416,134","4,436","69,379","9,547",0.46,0.68,0.12,0.03
0.96,"1,502","2,219",0.68,"417,636","2,934","71,598","7,328",0.40,0.71,0.09,0.02
0.97,"1,251","2,216",0.56,"418,887","1,683","73,814","5,112",0.33,0.75,0.06,0.01
0.98,934,"2,456",0.38,"419,821",749,"76,270","2,656",0.28,0.78,0.03,0.01
0.99,663,"2,286",0.29,"420,484",86,"78,556",370,0.23,0.81,0.00,0.00
1.0,86,370,0.23,"420,570",0,"78,926",0,nan,nan,0.00,0.00
