,Neg,Pos,N/P,TN,FP,FN,TP,FP/TP,Prec.,Rec.,$\hat{p}$
"(-0.001, 0.05]","17,769",309,57.50,"17,769","402,801",309,"78,617",5.12,0.16,1.00,0.96
"(0.05, 0.1]","66,839","2,369",28.21,"84,608","335,962","2,678","76,248",4.41,0.18,0.97,0.83
"(0.1, 0.15]","73,786","4,886",15.10,"158,394","262,176","7,564","71,362",3.67,0.21,0.90,0.67
"(0.15, 0.2]","64,582","6,828",9.46,"222,976","197,594","14,392","64,534",3.06,0.25,0.82,0.52
"(0.2, 0.25]","50,820","7,589",6.70,"273,796","146,774","21,981","56,945",2.58,0.28,0.72,0.41
"(0.25, 0.3]","39,261","7,783",5.04,"313,057","107,513","29,764","49,162",2.19,0.31,0.62,0.31
"(0.3, 0.35]","29,422","7,502",3.92,"342,479","78,091","37,266","41,660",1.87,0.35,0.53,0.24
"(0.35, 0.4]","21,747","6,999",3.11,"364,226","56,344","44,265","34,661",1.63,0.38,0.44,0.18
"(0.4, 0.45]","16,297","6,305",2.58,"380,523","40,047","50,570","28,356",1.41,0.41,0.36,0.14
"(0.45, 0.5]","11,927","5,570",2.14,"392,450","28,120","56,140","22,786",1.23,0.45,0.29,0.10
"(0.5, 0.55]","8,701","4,841",1.80,"401,151","19,419","60,981","17,945",1.08,0.48,0.23,0.07
"(0.55, 0.6]","6,423","4,512",1.42,"407,574","12,996","65,493","13,433",0.97,0.51,0.17,0.05
"(0.6, 0.65]","4,662","3,717",1.25,"412,236","8,334","69,210","9,716",0.86,0.54,0.12,0.04
"(0.65, 0.7]","3,290","3,010",1.09,"415,526","5,044","72,220","6,706",0.75,0.57,0.08,0.02
"(0.7, 0.75]","2,239","2,357",0.95,"417,765","2,805","74,577","4,349",0.64,0.61,0.06,0.01
"(0.75, 0.8]","1,431","1,778",0.80,"419,196","1,374","76,355","2,571",0.53,0.65,0.03,0.01
"(0.8, 0.85]",809,"1,275",0.63,"420,005",565,"77,630","1,296",0.44,0.70,0.02,0.00
"(0.85, 0.9]",447,922,0.48,"420,452",118,"78,552",374,0.32,0.76,0.00,0.00
"(0.9, 0.95]",115,364,0.32,"420,567",3,"78,916",10,0.30,0.77,0.00,0.00
"(0.95, 1.0]",3,10,0.30,"420,570",0,"78,926",0,nan,nan,0.00,0.00
