p,Neg,Pos,Neg/Pos,TN,FP,FN,TP,FP/TP,Prec.,Rec.,$\hat{p}$
0.0,"21,211",0,inf,"21,211","399,359",0,"78,926",5.06,0.17,1.00,0.96
0.01,148,0,inf,"21,359","399,211",0,"78,926",5.06,0.17,1.00,0.96
0.02,703,0,inf,"22,062","398,508",0,"78,926",5.05,0.17,1.00,0.96
0.03,"1,117",2,558.50,"23,179","397,391",2,"78,924",5.04,0.17,1.00,0.95
0.04,"1,857",5,371.40,"25,036","395,534",7,"78,919",5.01,0.17,1.00,0.95
0.05,"2,674",8,334.25,"27,710","392,860",15,"78,911",4.98,0.17,1.00,0.94
0.06,"1,741",15,116.07,"29,451","391,119",30,"78,896",4.96,0.17,1.00,0.94
0.07,"1,998",14,142.71,"31,449","389,121",44,"78,882",4.93,0.17,1.00,0.94
0.08,"2,311",23,100.48,"33,760","386,810",67,"78,859",4.91,0.17,1.00,0.93
0.09,"2,086",28,74.50,"35,846","384,724",95,"78,831",4.88,0.17,1.00,0.93
0.1,"7,363",36,204.53,"43,209","377,361",131,"78,795",4.79,0.17,1.00,0.91
0.11,"1,956",42,46.57,"45,165","375,405",173,"78,753",4.77,0.17,1.00,0.91
0.12,"2,669",58,46.02,"47,834","372,736",231,"78,695",4.74,0.17,1.00,0.90
0.13,"2,619",61,42.93,"50,453","370,117",292,"78,634",4.71,0.18,1.00,0.90
0.14,"3,122",75,41.63,"53,575","366,995",367,"78,559",4.67,0.18,1.00,0.89
0.15,"4,641",112,41.44,"58,216","362,354",479,"78,447",4.62,0.18,0.99,0.88
0.16,"2,877",88,32.69,"61,093","359,477",567,"78,359",4.59,0.18,0.99,0.88
0.17,"4,162",132,31.53,"65,255","355,315",699,"78,227",4.54,0.18,0.99,0.87
0.18,"4,494",157,28.62,"69,749","350,821",856,"78,070",4.49,0.18,0.99,0.86
0.19,"5,562",229,24.29,"75,311","345,259","1,085","77,841",4.44,0.18,0.99,0.85
0.2,"8,127",237,34.29,"83,438","337,132","1,322","77,604",4.34,0.19,0.98,0.83
0.21,"4,437",216,20.54,"87,875","332,695","1,538","77,388",4.30,0.19,0.98,0.82
0.22,"4,303",207,20.79,"92,178","328,392","1,745","77,181",4.25,0.19,0.98,0.81
0.23,"4,325",213,20.31,"96,503","324,067","1,958","76,968",4.21,0.19,0.98,0.80
0.24,"4,145",226,18.34,"100,648","319,922","2,184","76,742",4.17,0.19,0.97,0.79
0.25,"7,220",403,17.92,"107,868","312,702","2,587","76,339",4.10,0.20,0.97,0.78
0.26,"4,814",297,16.21,"112,682","307,888","2,884","76,042",4.05,0.20,0.96,0.77
0.27,"6,641",419,15.85,"119,323","301,247","3,303","75,623",3.98,0.20,0.96,0.75
0.28,"6,176",430,14.36,"125,499","295,071","3,733","75,193",3.92,0.20,0.95,0.74
0.29,"5,068",363,13.96,"130,567","290,003","4,096","74,830",3.88,0.21,0.95,0.73
0.3,"6,518",407,16.01,"137,085","283,485","4,503","74,423",3.81,0.21,0.94,0.72
0.31,"6,894",580,11.89,"143,979","276,591","5,083","73,843",3.75,0.21,0.94,0.70
0.32,"6,510",559,11.65,"150,489","270,081","5,642","73,284",3.69,0.21,0.93,0.69
0.33,"6,173",567,10.89,"156,662","263,908","6,209","72,717",3.63,0.22,0.92,0.67
0.34,"5,312",500,10.62,"161,974","258,596","6,709","72,217",3.58,0.22,0.91,0.66
0.35,"6,708",632,10.61,"168,682","251,888","7,341","71,585",3.52,0.22,0.91,0.65
0.36,"6,213",631,9.85,"174,895","245,675","7,972","70,954",3.46,0.22,0.90,0.63
0.37,"6,313",681,9.27,"181,208","239,362","8,653","70,273",3.41,0.23,0.89,0.62
0.38,"6,977",795,8.78,"188,185","232,385","9,448","69,478",3.34,0.23,0.88,0.60
0.39,"6,154",725,8.49,"194,339","226,231","10,173","68,753",3.29,0.23,0.87,0.59
0.4,"7,265",834,8.71,"201,604","218,966","11,007","67,919",3.22,0.24,0.86,0.57
0.41,"7,377",946,7.80,"208,981","211,589","11,953","66,973",3.16,0.24,0.85,0.56
0.42,"6,485",857,7.57,"215,466","205,104","12,810","66,116",3.10,0.24,0.84,0.54
0.43,"7,212",994,7.26,"222,678","197,892","13,804","65,122",3.04,0.25,0.83,0.53
0.44,"7,657","1,122",6.82,"230,335","190,235","14,926","64,000",2.97,0.25,0.81,0.51
0.45,"7,477","1,136",6.58,"237,812","182,758","16,062","62,864",2.91,0.26,0.80,0.49
0.46,"5,879",936,6.28,"243,691","176,879","16,998","61,928",2.86,0.26,0.78,0.48
0.47,"7,370","1,200",6.14,"251,061","169,509","18,198","60,728",2.79,0.26,0.77,0.46
0.48,"7,404","1,223",6.05,"258,465","162,105","19,421","59,505",2.72,0.27,0.75,0.44
0.49,"8,440","1,471",5.74,"266,905","153,665","20,892","58,034",2.65,0.27,0.74,0.42
0.5,"8,377","1,492",5.61,"275,282","145,288","22,384","56,542",2.57,0.28,0.72,0.40
0.51,"7,496","1,416",5.29,"282,778","137,792","23,800","55,126",2.50,0.29,0.70,0.39
0.52,"7,319","1,472",4.97,"290,097","130,473","25,272","53,654",2.43,0.29,0.68,0.37
0.53,"7,752","1,612",4.81,"297,849","122,721","26,884","52,042",2.36,0.30,0.66,0.35
0.54,"6,373","1,383",4.61,"304,222","116,348","28,267","50,659",2.30,0.30,0.64,0.33
0.55,"7,324","1,650",4.44,"311,546","109,024","29,917","49,009",2.22,0.31,0.62,0.32
0.56,"6,172","1,446",4.27,"317,718","102,852","31,363","47,563",2.16,0.32,0.60,0.30
0.57,"5,868","1,461",4.02,"323,586","96,984","32,824","46,102",2.10,0.32,0.58,0.29
0.58,"6,355","1,611",3.94,"329,941","90,629","34,435","44,491",2.04,0.33,0.56,0.27
0.59,"5,898","1,518",3.89,"335,839","84,731","35,953","42,973",1.97,0.34,0.54,0.26
0.6,"6,027","1,660",3.63,"341,866","78,704","37,613","41,313",1.91,0.34,0.52,0.24
0.61,"5,591","1,596",3.50,"347,457","73,113","39,209","39,717",1.84,0.35,0.50,0.23
0.62,"4,885","1,451",3.37,"352,342","68,228","40,660","38,266",1.78,0.36,0.48,0.21
0.63,"4,330","1,339",3.23,"356,672","63,898","41,999","36,927",1.73,0.37,0.47,0.20
0.64,"4,630","1,496",3.09,"361,302","59,268","43,495","35,431",1.67,0.37,0.45,0.19
0.65,"4,960","1,686",2.94,"366,262","54,308","45,181","33,745",1.61,0.38,0.43,0.18
0.66,"4,153","1,434",2.90,"370,415","50,155","46,615","32,311",1.55,0.39,0.41,0.17
0.67,"4,273","1,592",2.68,"374,688","45,882","48,207","30,719",1.49,0.40,0.39,0.15
0.68,"4,303","1,688",2.55,"378,991","41,579","49,895","29,031",1.43,0.41,0.37,0.14
0.69,"3,601","1,434",2.51,"382,592","37,978","51,329","27,597",1.38,0.42,0.35,0.13
0.7,"4,100","1,799",2.28,"386,692","33,878","53,128","25,798",1.31,0.43,0.33,0.12
0.71,"3,083","1,302",2.37,"389,775","30,795","54,430","24,496",1.26,0.44,0.31,0.11
0.72,"3,029","1,383",2.19,"392,804","27,766","55,813","23,113",1.20,0.45,0.29,0.10
0.73,"2,579","1,216",2.12,"395,383","25,187","57,029","21,897",1.15,0.47,0.28,0.09
0.74,"2,524","1,254",2.01,"397,907","22,663","58,283","20,643",1.10,0.48,0.26,0.09
0.75,"2,726","1,451",1.88,"400,633","19,937","59,734","19,192",1.04,0.49,0.24,0.08
0.76,"2,141","1,210",1.77,"402,774","17,796","60,944","17,982",0.99,0.50,0.23,0.07
0.77,"1,790","1,051",1.70,"404,564","16,006","61,995","16,931",0.95,0.51,0.21,0.07
0.78,"2,139","1,310",1.63,"406,703","13,867","63,305","15,621",0.89,0.53,0.20,0.06
0.79,"1,549","1,003",1.54,"408,252","12,318","64,308","14,618",0.84,0.54,0.19,0.05
0.8,"1,644","1,288",1.28,"409,896","10,674","65,596","13,330",0.80,0.56,0.17,0.05
0.81,"1,319",947,1.39,"411,215","9,355","66,543","12,383",0.76,0.57,0.16,0.04
0.82,"1,233",922,1.34,"412,448","8,122","67,465","11,461",0.71,0.59,0.15,0.04
0.83,973,768,1.27,"413,421","7,149","68,233","10,693",0.67,0.60,0.14,0.04
0.84,986,813,1.21,"414,407","6,163","69,046","9,880",0.62,0.62,0.13,0.03
0.85,"1,009",958,1.05,"415,416","5,154","70,004","8,922",0.58,0.63,0.11,0.03
0.86,801,744,1.08,"416,217","4,353","70,748","8,178",0.53,0.65,0.10,0.03
0.87,673,716,0.94,"416,890","3,680","71,464","7,462",0.49,0.67,0.09,0.02
0.88,464,527,0.88,"417,354","3,216","71,991","6,935",0.46,0.68,0.09,0.02
0.89,578,684,0.85,"417,932","2,638","72,675","6,251",0.42,0.70,0.08,0.02
0.9,602,"1,212",0.50,"418,534","2,036","73,887","5,039",0.40,0.71,0.06,0.01
0.91,387,512,0.76,"418,921","1,649","74,399","4,527",0.36,0.73,0.06,0.01
0.92,342,491,0.70,"419,263","1,307","74,890","4,036",0.32,0.76,0.05,0.01
0.93,327,527,0.62,"419,590",980,"75,417","3,509",0.28,0.78,0.04,0.01
0.94,155,299,0.52,"419,745",825,"75,716","3,210",0.26,0.80,0.04,0.01
0.95,277,577,0.48,"420,022",548,"76,293","2,633",0.21,0.83,0.03,0.01
0.96,108,308,0.35,"420,130",440,"76,601","2,325",0.19,0.84,0.03,0.01
0.97,152,375,0.41,"420,282",288,"76,976","1,950",0.15,0.87,0.02,0.00
0.98,86,237,0.36,"420,368",202,"77,213","1,713",0.12,0.89,0.02,0.00
0.99,99,293,0.34,"420,467",103,"77,506","1,420",0.07,0.93,0.02,0.00
1.0,103,"1,420",0.07,"420,570",0,"78,926",0,nan,nan,0.00,0.00
