,Neg,Pos,N/P,TN,FP,FN,TP,FP/TP,Prec.,Rec.,$\hat{p}$
"(-0.001, 0.05]",0,0,nan,0,"420,570",0,"78,926",5.33,0.16,1.00,1.00
"(0.05, 0.1]",0,0,nan,0,"420,570",0,"78,926",5.33,0.16,1.00,1.00
"(0.1, 0.15]",0,0,nan,0,"420,570",0,"78,926",5.33,0.16,1.00,1.00
"(0.15, 0.2]",0,0,nan,0,"420,570",0,"78,926",5.33,0.16,1.00,1.00
"(0.2, 0.25]",0,0,nan,0,"420,570",0,"78,926",5.33,0.16,1.00,1.00
"(0.25, 0.3]",0,0,nan,0,"420,570",0,"78,926",5.33,0.16,1.00,1.00
"(0.3, 0.35]",0,0,nan,0,"420,570",0,"78,926",5.33,0.16,1.00,1.00
"(0.35, 0.4]",0,0,nan,0,"420,570",0,"78,926",5.33,0.16,1.00,1.00
"(0.4, 0.45]","10,270",208,49.38,"10,270","410,300",208,"78,718",5.21,0.16,1.00,0.98
"(0.45, 0.5]","267,084","25,443",10.50,"277,354","143,216","25,651","53,275",2.69,0.27,0.67,0.39
"(0.5, 0.55]","140,486","50,113",2.80,"417,840","2,730","75,764","3,162",0.86,0.54,0.04,0.01
"(0.55, 0.6]","2,730","3,162",0.86,"420,570",0,"78,926",0,nan,nan,0.00,0.00
"(0.6, 0.65]",0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
"(0.65, 0.7]",0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
"(0.7, 0.75]",0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
"(0.75, 0.8]",0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
"(0.8, 0.85]",0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
"(0.85, 0.9]",0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
"(0.9, 0.95]",0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
"(0.95, 1.0]",0,0,nan,"420,570",0,"78,926",0,nan,nan,0.00,0.00
