p,Neg,Pos,mPrec,TN,FP,FN,TP,Prec,Rec,$\hat{p}$
0.0,"6,113",68,0.01,"6,113","414,457",68,"78,858",0.16,1.00,0.99
0.05,"10,585",217,0.02,"16,698","403,872",285,"78,641",0.16,1.00,0.97
0.1,"16,716",513,0.03,"33,414","387,156",798,"78,128",0.17,0.99,0.93
0.15,"22,332",951,0.04,"55,746","364,824","1,749","77,177",0.17,0.98,0.88
0.2,"27,464","1,551",0.05,"83,210","337,360","3,300","75,626",0.18,0.96,0.83
0.25,"31,748","2,202",0.06,"114,958","305,612","5,502","73,424",0.19,0.93,0.76
0.3,"34,994","2,998",0.08,"149,952","270,618","8,500","70,426",0.21,0.89,0.68
0.35,"35,702","3,763",0.10,"185,654","234,916","12,263","66,663",0.22,0.84,0.60
0.4,"35,683","4,583",0.11,"221,337","199,233","16,846","62,080",0.24,0.79,0.52
0.45,"35,069","5,082",0.13,"256,406","164,164","21,928","56,998",0.26,0.72,0.44
0.5,"32,439","5,797",0.15,"288,845","131,725","27,725","51,201",0.28,0.65,0.37
0.55,"28,804","6,196",0.18,"317,649","102,921","33,921","45,005",0.30,0.57,0.30
0.6,"25,147","6,361",0.20,"342,796","77,774","40,282","38,644",0.33,0.49,0.23
0.65,"20,554","6,057",0.23,"363,350","57,220","46,339","32,587",0.36,0.41,0.18
0.7,"16,326","5,858",0.26,"379,676","40,894","52,197","26,729",0.40,0.34,0.14
0.75,"12,561","5,274",0.30,"392,237","28,333","57,471","21,455",0.43,0.27,0.10
0.8,"9,356","4,924",0.34,"401,593","18,977","62,395","16,531",0.47,0.21,0.07
0.85,"7,166","4,545",0.39,"408,759","11,811","66,940","11,986",0.50,0.15,0.05
0.9,"5,519","4,426",0.45,"414,278","6,292","71,366","7,560",0.55,0.10,0.03
0.95,"3,945","4,028",0.51,"418,223","2,347","75,394","3,532",0.60,0.04,0.01
1.0,"2,347","3,532",0.60,"420,570",0,"78,926",0,nan,0.00,0.00
